ID,Player,Hero,Kills,Deaths,Assists,LastHits,GPM,XPM,Match,Side,Winner,ELO
68,YamateH 2,dark_seer,7,1,14,188,590,524,2275426403,Dire,DIRE,67.16
69,Nightmare 2,witch_doctor,8,4,8,40,386,264,2275426403,Dire,DIRE,67.16
70,leostyle,windrunner,5,2,13,95,492,451,2275426403,Dire,DIRE,67.16
71,mistico,bounty_hunter,4,6,16,14,436,338,2275379829,Radiant,RADIANT,45.12
72,Smash,beastmaster,4,4,12,163,582,574,2275379829,Radiant,RADIANT,45.12
73,vanN,obsidian_destroyer,14,2,8,168,679,655,2275379829,Radiant,RADIANT,45.12
74,Masoku,visage,3,2,10,46,401,313,2275379829,Radiant,RADIANT,45.12
75,Iwo,vengefulspirit,6,5,12,128,552,522,2275379829,Radiant,RADIANT,45.12
76,J3R1CHO,rubick,2,7,13,38,274,242,2275379829,Dire,RADIANT,-45.12
77,Nightmare 2,lion,2,9,11,30,231,252,2275379829,Dire,RADIANT,-45.12
78,BenjaZ 2,lone_druid,2,2,10,229,586,621,2275379829,Dire,RADIANT,-45.12
79,YamateH 2,tidehunter,0,8,5,95,306,334,2275379829,Dire,RADIANT,-45.12
80,leostyle,windrunner,12,5,1,128,491,413,2275379829,Dire,RADIANT,-45.12
81,J3R1CHO,skywrath_mage,4,11,19,36,328,373,2275319820,Radiant,RADIANT,74.05
82,Nightmare 2,vengefulspirit,0,11,18,40,280,262,2275319820,Radiant,RADIANT,74.05
83,BenjaZ 2,clinkz,17,6,6,343,726,659,2275319820,Radiant,RADIANT,74.05
84,xiao  10,puck,8,3,20,439,760,653,2275319820,Radiant,RADIANT,74.05
85,YamateH 2,lone_druid,10,2,18,373,680,650,2275319820,Radiant,RADIANT,74.05
86,mistico,earth_spirit,3,7,16,17,262,293,2275319820,Dire,RADIANT,-74.05
87,Smash,beastmaster,11,6,13,218,475,561,2275319820,Dire,RADIANT,-74.05
88,vanN,invoker,9,11,15,260,553,486,2275319820,Dire,RADIANT,-74.05
89,Masoku,chen,4,7,13,143,334,256,2275319820,Dire,RADIANT,-74.05
90,Iwo,jakiro,4,9,13,170,382,447,2275319820,Dire,RADIANT,-74.05
91,AfterLife,batrider,6,8,26,247,358,383,2275109912,Radiant,RADIANT,43.27
92,RAMZES666,gyrocopter,11,4,24,731,650,383,2275109912,Radiant,RADIANT,43.27
93,Scandal,obsidian_destroyer,9,8,25,432,444,383,2275109912,Radiant,RADIANT,43.27
94,KingR,disruptor,7,8,19,49,259,330,2275109912,Radiant,RADIANT,43.27
95,Miposhka,enchantress,10,5,9,303,384,383,2275109912,Radiant,RADIANT,43.27
96,SyndereN,bane,4,8,19,40,201,247,2275109912,Dire,RADIANT,-43.27
97,qojqva,windrunner,9,12,15,391,392,347,2275109912,Dire,RADIANT,-43.27
98,YapzOr,doom_bringer,4,11,21,165,318,335,2275109912,Dire,RADIANT,-43.27
99,Era,ember_spirit,15,8,12,856,649,385,2275109912,Dire,RADIANT,-43.27
100,okye,faceless_void,1,4,21,196,268,322,2275109912,Dire,RADIANT,-43.27
101,SyndereN,bane,0,5,8,30,187,197,2275028257,Radiant,DIRE,-60.48
102,YapzOr,enigma,2,4,5,129,325,320,2275028257,Radiant,DIRE,-60.48
103,qojqva,zuus,3,5,5,164,361,310,2275028257,Radiant,DIRE,-60.48
104,Era,slark,2,4,3,269,525,586,2275028257,Radiant,DIRE,-60.48
105,okye,faceless_void,1,6,6,77,258,266,2275028257,Radiant,DIRE,-60.48
106,AfterLife,furion,7,0,11,275,677,646,2275028257,Dire,DIRE,60.48
107,RAMZES666,obsidian_destroyer,13,0,5,234,661,619,2275028257,Dire,DIRE,60.48
108,Scandal,batrider,3,2,12,125,420,448,2275028257,Dire,DIRE,60.48
109,KingR,vengefulspirit,0,4,8,39,309,293,2275028257,Dire,DIRE,60.48
110,Miposhka,beastmaster,1,2,14,162,439,437,2275028257,Dire,DIRE,60.48
111,SyndereN,bane,3,3,7,37,287,281,2274902953,Radiant,RADIANT,40.98
112,qojqva,invoker,6,0,13,209,663,633,2274902953,Radiant,RADIANT,40.98
113,YapzOr,doom_bringer,2,5,16,65,346,337,2274902953,Radiant,RADIANT,40.98
114,Era,slark,9,1,9,183,549,627,2274902953,Radiant,RADIANT,40.98
115,okye,dark_seer,3,0,16,151,437,452,2274902953,Radiant,RADIANT,40.98
116,SoNNeikO,oracle,3,4,5,37,223,242,2274902953,Dire,RADIANT,-40.98
117,ArtStyle,lina,1,6,7,44,242,205,2274902953,Dire,RADIANT,-40.98
118,Dendi,obsidian_destroyer,0,4,2,162,367,358,2274902953,Dire,RADIANT,-40.98
119,Ditya Ra,spectre,3,4,4,161,409,441,2274902953,Dire,RADIANT,-40.98
120,GeneRaL 2,beastmaster,2,5,3,119,331,273,2274902953,Dire,RADIANT,-40.98
121,SoNNeikO,oracle,4,4,20,71,344,356,2274781122,Radiant,RADIANT,77.94
122,ArtStyle,shadow_demon,9,4,15,76,406,409,2274781122,Radiant,RADIANT,77.94
123,Dendi,invoker,8,3,21,261,642,629,2274781122,Radiant,RADIANT,77.94
124,Ditya Ra,lycan,10,5,12,245,595,541,2274781122,Radiant,RADIANT,77.94
125,GeneRaL 2,furion,6,1,22,251,562,511,2274781122,Radiant,RADIANT,77.94
126,SyndereN,vengefulspirit,1,9,6,35,208,245,2274781122,Dire,RADIANT,-77.94
127,YapzOr,earth_spirit,3,8,12,47,288,336,2274781122,Dire,RADIANT,-77.94
128,qojqva,obsidian_destroyer,6,8,4,246,474,506,2274781122,Dire,RADIANT,-77.94
129,Era,gyrocopter,2,6,8,386,540,507,2274781122,Dire,RADIANT,-77.94
130,okye,beastmaster,5,6,7,123,312,311,2274781122,Dire,RADIANT,-77.94
131,Hao,gyrocopter,21,6,19,390,633,604,2274095412,Radiant,RADIANT,28.82
132,ChuaN,disruptor,2,5,27,39,264,333,2274095412,Radiant,RADIANT,28.82
133,Mu,death_prophet,13,7,18,227,484,526,2274095412,Radiant,RADIANT,28.82
134,kaka,doom_bringer,5,5,28,126,391,411,2274095412,Radiant,RADIANT,28.82
135,kPhoenix,broodmother,5,4,19,249,504,606,2274095412,Radiant,RADIANT,28.82
136,eLeVeN,furion,5,12,15,522,533,581,2274095412,Dire,RADIANT,-28.82
137,LaNm,skeleton_king,4,7,18,573,634,601,2274095412,Dire,RADIANT,-28.82
138,Fenrir,lion,3,9,12,61,240,263,2274095412,Dire,RADIANT,-28.82
139,iceiceice,enchantress,7,8,11,155,365,415,2274095412,Dire,RADIANT,-28.82
140,old chicken,obsidian_destroyer,6,10,8,311,417,468,2274095412,Dire,RADIANT,-28.82
141,eLeVeN,tusk,1,10,6,58,194,203,2273992647,Radiant,DIRE,-38.74
142,LaNm,gyrocopter,5,6,5,250,462,422,2273992647,Radiant,DIRE,-38.74
143,Fenrir,oracle,2,6,9,21,162,157,2273992647,Radiant,DIRE,-38.74
144,iceiceice,enchantress,2,6,8,129,275,250,2273992647,Radiant,DIRE,-38.74
145,old chicken,invoker,1,6,7,237,467,473,2273992647,Radiant,DIRE,-38.74
146,kaka,earth_spirit,5,5,26,18,283,279,2273992647,Dire,DIRE,38.74
147,Hao,life_stealer,7,1,19,237,573,560,2273992647,Dire,DIRE,38.74
148,Mu,death_prophet,11,3,14,232,576,534,2273992647,Dire,DIRE,38.74
149,ChuaN,lion,5,2,14,29,292,288,2273992647,Dire,DIRE,38.74
150,kPhoenix,dark_seer,6,1,17,213,474,418,2273992647,Dire,DIRE,38.74
151,kaka,earth_spirit,7,4,19,29,330,314,2273917666,Radiant,RADIANT,54.11
152,Hao,slark,8,2,14,172,546,601,2273917666,Radiant,RADIANT,54.11
153,kPhoenix,doom_bringer,2,2,15,115,474,539,2273917666,Radiant,RADIANT,54.11
154,ChuaN,witch_doctor,6,2,13,25,337,356,2273917666,Radiant,RADIANT,54.11
155,Mu,death_prophet,6,2,12,181,567,546,2273917666,Radiant,RADIANT,54.11
156,eLeVeN,tidehunter,0,7,5,100,330,361,2273917666,Dire,RADIANT,-54.11
157,LaNm,ursa,6,6,2,146,441,430,2273917666,Dire,RADIANT,-54.11
158,Fenrir,lion,2,5,5,40,314,326,2273917666,Dire,RADIANT,-54.11
159,iceiceice,enigma,1,5,4,152,392,360,2273917666,Dire,RADIANT,-54.11
160,old chicken,clinkz,2,6,5,109,368,385,2273917666,Dire,RADIANT,-54.11
161,xiao8,beastmaster,2,5,2,60,273,262,2271901701,Radiant,DIRE,-21.86
162,Maybe,nevermore,2,6,1,190,509,479,2271901701,Radiant,DIRE,-21.86
163,<U+554A><U+54A7>,enchantress,2,2,4,73,270,215,2271901701,Radiant,DIRE,-21.86
164,Agressif,gyrocopter,0,7,3,108,325,346,2271901701,Radiant,DIRE,-21.86
165,MMY,vengefulspirit,1,7,3,14,185,135,2271901701,Radiant,DIRE,-21.86
166,eLeVeN,lone_druid,3,0,3,174,628,553,2271901701,Dire,DIRE,21.86
167,LaNm,doom_bringer,4,1,13,102,504,446,2271901701,Dire,DIRE,21.86
168,Fenrir,winter_wyvern,1,2,7,56,363,336,2271901701,Dire,DIRE,21.86
169,iceiceice,earth_spirit,7,4,11,35,414,318,2271901701,Dire,DIRE,21.86
170,old chicken,death_prophet,12,0,7,122,610,581,2271901701,Dire,DIRE,21.86
171,eLeVeN,faceless_void,10,3,8,142,528,558,2271813303,Radiant,RADIANT,27.82
172,LaNm,weaver,4,2,9,162,497,530,2271813303,Radiant,RADIANT,27.82
173,Fenrir,earth_spirit,3,1,11,34,306,324,2271813303,Radiant,RADIANT,27.82
174,iceiceice,enchantress,3,5,6,87,332,290,2271813303,Radiant,RADIANT,27.82
175,old chicken,invoker,5,2,12,197,622,598,2271813303,Radiant,RADIANT,27.82
176,xiao8,zuus,3,5,6,68,268,255,2271813303,Dire,RADIANT,-27.82
177,<U+554A><U+54A7>,doom_bringer,3,3,5,62,296,262,2271813303,Dire,RADIANT,-27.82
178,Maybe,batrider,4,6,5,94,331,399,2271813303,Dire,RADIANT,-27.82
179,MMY,witch_doctor,0,5,5,16,204,221,2271813303,Dire,RADIANT,-27.82
180,Agressif,spectre,2,6,3,155,341,389,2271813303,Dire,RADIANT,-27.82
181,KINGRD,earth_spirit,6,1,26,53,383,468,2271088834,Radiant,RADIANT,41.7
182,4dr,weaver,10,2,20,146,502,464,2271088834,Radiant,RADIANT,41.7
183,Lanaro,brewmaster,6,4,19,71,379,426,2271088834,Radiant,RADIANT,41.7
184,Lilkin6,undying,2,1,20,31,265,233,2271088834,Radiant,RADIANT,41.7
185,THD.Jubileu Nev,furion,11,2,20,189,576,607,2271088834,Radiant,RADIANT,41.7
186,Aiz,ursa,1,7,2,123,341,308,2271088834,Dire,RADIANT,-41.7
187,Kezia,wisp,1,10,5,19,187,204,2271088834,Dire,RADIANT,-41.7
188,..       8,bristleback,1,7,0,149,373,350,2271088834,Dire,RADIANT,-41.7
189,QQeeper,omniknight,1,7,0,35,179,209,2271088834,Dire,RADIANT,-41.7
190,aijudsfjbadsf,lina,5,5,5,150,398,342,2271088834,Dire,RADIANT,-41.7
191,Aiz,death_prophet,3,8,2,281,450,454,2271037372,Radiant,DIRE,-58.85
192,Kezia,lion,0,7,5,62,221,252,2271037372,Radiant,DIRE,-58.85
193,..       8,faceless_void,1,2,5,151,311,345,2271037372,Radiant,DIRE,-58.85
194,QQeeper,skywrath_mage,3,11,5,18,216,249,2271037372,Radiant,DIRE,-58.85
195,aijudsfjbadsf,clinkz,2,5,5,201,378,429,2271037372,Radiant,DIRE,-58.85
196,KINGRD,tusk,3,2,16,56,300,318,2271037372,Dire,DIRE,58.85
197,4dr,slark,7,2,4,385,669,735,2271037372,Dire,DIRE,58.85
198,Lanaro,lina,15,0,11,288,648,659,2271037372,Dire,DIRE,58.85
199,THD.Jubileu Nev,tidehunter,5,4,20,111,359,344,2271037372,Dire,DIRE,58.85
200,Lilkin6,witch_doctor,3,1,14,62,263,300,2271037372,Dire,DIRE,58.85
201,Solo,earth_spirit,1,7,6,12,168,132,2270853865,Radiant,DIRE,-66.82
202,Cema,rubick,0,6,4,22,171,158,2270853865,Radiant,DIRE,-66.82
203,Noone,obsidian_destroyer,2,3,3,119,399,382,2270853865,Radiant,DIRE,-66.82
204,fn 536,gyrocopter,3,2,3,154,446,435,2270853865,Radiant,DIRE,-66.82
205,Mag,faceless_void,2,3,2,47,264,305,2270853865,Radiant,DIRE,-66.82
206,Ace,clinkz,8,1,8,153,599,562,2270853865,Dire,DIRE,66.82
207,Pingvincek,zuus,8,1,9,110,490,464,2270853865,Dire,DIRE,66.82
208,HesteJoe,beastmaster,0,4,5,92,387,346,2270853865,Dire,DIRE,66.82
209,Ryze,earthshaker,1,1,8,31,268,224,2270853865,Dire,DIRE,66.82
210,Noia,skywrath_mage,3,2,6,15,266,253,2270853865,Dire,DIRE,66.82
211,Ace,legion_commander,5,0,7,174,424,382,2270751655,Radiant,RADIANT,84.14
212,Pingvincek,phantom_lancer,5,2,3,315,620,651,2270751655,Radiant,RADIANT,84.14
213,HesteJoe,spirit_breaker,4,1,11,71,296,356,2270751655,Radiant,RADIANT,84.14
214,Ryze,enchantress,1,1,14,81,278,310,2270751655,Radiant,RADIANT,84.14
215,Noia,oracle,5,2,12,23,256,283,2270751655,Radiant,RADIANT,84.14
216,Solo,night_stalker,0,5,2,99,251,254,2270751655,Dire,RADIANT,-84.14
217,Cema,crystal_maiden,2,4,3,50,245,271,2270751655,Dire,RADIANT,-84.14
218,Noone,invoker,0,4,4,256,509,471,2270751655,Dire,RADIANT,-84.14
219,fn 536,ember_spirit,1,4,4,253,455,477,2270751655,Dire,RADIANT,-84.14
220,Mag,furion,3,3,1,218,404,334,2270751655,Dire,RADIANT,-84.14
221,Lil,night_stalker,5,4,23,19,336,323,2270657538,Radiant,RADIANT,65.03
222,Afoninje,obsidian_destroyer,7,4,14,99,459,423,2270657538,Radiant,RADIANT,65.03
223,<U+0416><U+0435><U+043D><U+044F>,witch_doctor,2,2,17,33,301,294,2270657538,Radiant,RADIANT,65.03
224,dkphobos,dark_seer,8,4,15,135,469,415,2270657538,Radiant,RADIANT,65.03
225,9pashaebashu,juggernaut,10,1,10,196,596,574,2270657538,Radiant,RADIANT,65.03
226,Goblak,bane,0,9,8,13,173,155,2270657538,Dire,RADIANT,-65.03
227,Illidan,silencer,2,5,8,95,302,319,2270657538,Dire,RADIANT,-65.03
228,Iceberg,tiny,6,6,6,155,435,309,2270657538,Dire,RADIANT,-65.03
229,ALWAYSWANNAFLY,wisp,3,8,10,22,233,257,2270657538,Dire,RADIANT,-65.03
230,Funn1k,furion,3,5,9,172,419,430,2270657538,Dire,RADIANT,-65.03
231,Goblak,bane,3,4,10,8,296,262,2270549228,Radiant,RADIANT,48.42
232,Illidan,chaos_knight,6,1,13,112,536,459,2270549228,Radiant,RADIANT,48.42
233,Iceberg,zuus,14,4,16,92,563,594,2270549228,Radiant,RADIANT,48.42
234,ALWAYSWANNAFLY,wisp,4,3,16,25,345,313,2270549228,Radiant,RADIANT,48.42
235,Funn1k,furion,7,4,19,164,607,594,2270549228,Radiant,RADIANT,48.42
236,Lil,enchantress,8,5,7,37,336,315,2270549228,Dire,RADIANT,-48.42
237,Afoninje,invoker,6,7,10,104,394,405,2270549228,Dire,RADIANT,-48.42
238,<U+0416><U+0435><U+043D><U+044F>,disruptor,0,7,6,26,179,176,2270549228,Dire,RADIANT,-48.42
239,dkphobos,doom_bringer,2,8,9,70,273,312,2270549228,Dire,RADIANT,-48.42
240,9pashaebashu,ember_spirit,0,7,6,92,259,299,2270549228,Dire,RADIANT,-48.42
241,Lil,ogre_magi,2,2,12,10,268,274,2270415898,Radiant,RADIANT,70.59
242,Afoninje,obsidian_destroyer,11,2,2,234,582,536,2270415898,Radiant,RADIANT,70.59
243,<U+0416><U+0435><U+043D><U+044F>,witch_doctor,1,3,9,48,282,261,2270415898,Radiant,RADIANT,70.59
244,dkphobos,weaver,3,4,10,181,457,409,2270415898,Radiant,RADIANT,70.59
245,9pashaebashu,chaos_knight,6,0,10,280,638,539,2270415898,Radiant,RADIANT,70.59
246,Goblak,undying,1,6,4,26,207,192,2270415898,Dire,RADIANT,-70.59
247,Illidan,spectre,4,4,4,183,391,340,2270415898,Dire,RADIANT,-70.59
248,Iceberg,puck,3,4,6,186,426,456,2270415898,Dire,RADIANT,-70.59
249,ALWAYSWANNAFLY,oracle,3,6,3,50,237,187,2270415898,Dire,RADIANT,-70.59
250,Funn1k,furion,0,3,5,231,440,402,2270415898,Dire,RADIANT,-70.59
251,kPhoenix,doom_bringer,3,7,17,211,422,428,2270057131,Radiant,RADIANT,33.4
252,kaka,windrunner,3,6,16,131,290,322,2270057131,Radiant,RADIANT,33.4
253,Hao,sven,8,4,14,735,787,536,2270057131,Radiant,RADIANT,33.4
254,SanSheng,lion,2,3,15,77,263,341,2270057131,Radiant,RADIANT,33.4
255,Mu,invoker,11,3,13,564,731,538,2270057131,Radiant,RADIANT,33.4
256,xiao8,batrider,4,6,16,241,356,404,2270057131,Dire,RADIANT,-33.4
257,<U+554A><U+54A7>,phoenix,5,5,17,190,339,406,2270057131,Dire,RADIANT,-33.4
258,Maybe,lycan,5,4,10,452,519,518,2270057131,Dire,RADIANT,-33.4
259,Agressif,weaver,6,6,13,372,473,533,2270057131,Dire,RADIANT,-33.4
260,MMY,vengefulspirit,3,6,12,45,205,258,2270057131,Dire,RADIANT,-33.4
261,xiao8,tiny,3,6,5,120,344,372,2269916277,Radiant,DIRE,-46
262,Maybe,invoker,1,1,3,190,481,493,2269916277,Radiant,DIRE,-46
263,Agressif,phantom_lancer,5,2,2,196,451,443,2269916277,Radiant,DIRE,-46
264,<U+554A><U+54A7>,bounty_hunter,1,5,5,20,199,137,2269916277,Radiant,DIRE,-46
265,MMY,visage,0,4,8,44,206,228,2269916277,Radiant,DIRE,-46
266,SanSheng,witch_doctor,1,3,9,22,255,229,2269916277,Dire,DIRE,46
267,kaka,wisp,0,4,13,14,261,253,2269916277,Dire,DIRE,46
268,Hao,ember_spirit,10,1,6,135,529,488,2269916277,Dire,DIRE,46
269,Mu,obsidian_destroyer,3,2,5,141,456,432,2269916277,Dire,DIRE,46
270,kPhoenix,bristleback,4,0,12,167,567,472,2269916277,Dire,DIRE,46
271,kaka,phoenix,2,11,9,113,270,273,2269762448,Radiant,DIRE,-73.16
272,SanSheng,vengefulspirit,1,8,9,31,206,217,2269762448,Radiant,DIRE,-73.16
273,Hao,life_stealer,4,6,9,228,471,466,2269762448,Radiant,DIRE,-73.16
274,kPhoenix,beastmaster,4,5,6,147,350,349,2269762448,Radiant,DIRE,-73.16
275,Mu,invoker,2,7,4,251,457,459,2269762448,Radiant,DIRE,-73.16
276,xiao8,doom_bringer,3,6,21,84,394,419,2269762448,Dire,DIRE,73.16
277,<U+554A><U+54A7>,broodmother,20,3,5,224,654,646,2269762448,Dire,DIRE,73.16
278,Maybe,batrider,3,2,17,127,399,494,2269762448,Dire,DIRE,73.16
279,Agressif,gyrocopter,9,1,19,356,774,778,2269762448,Dire,DIRE,73.16
280,MMY,shadow_shaman,2,2,13,97,349,370,2269762448,Dire,DIRE,73.16
281,eLeVeN,lone_druid,4,1,4,150,606,652,2269480271,Radiant,RADIANT,38.43
282,LaNm,slardar,3,1,3,75,383,344,2269480271,Radiant,RADIANT,38.43
283,Fenrir,winter_wyvern,1,1,4,59,330,361,2269480271,Radiant,RADIANT,38.43
284,iceiceice,enchantress,3,0,6,56,332,257,2269480271,Radiant,RADIANT,38.43
285,old chicken,invoker,3,0,4,122,525,442,2269480271,Radiant,RADIANT,38.43
286,fy,wisp,1,3,1,19,200,209,2269480271,Dire,RADIANT,-38.43
287,aaa 2,tiny,0,3,2,115,377,346,2269480271,Dire,RADIANT,-38.43
288,DDC,witch_doctor,0,2,2,18,162,173,2269480271,Dire,RADIANT,-38.43
289,Yang,beastmaster,1,2,1,65,286,309,2269480271,Dire,RADIANT,-38.43
290,Zyf,juggernaut,1,4,0,123,395,396,2269480271,Dire,RADIANT,-38.43
291,fy,enchantress,1,3,2,93,226,256,2269344768,Radiant,DIRE,-53.66
292,aaa 2,alchemist,1,3,1,239,648,450,2269344768,Radiant,DIRE,-53.66
293,Yang,doom_bringer,1,6,3,81,293,271,2269344768,Radiant,DIRE,-53.66
294,DDC,rubick,1,3,4,32,165,221,2269344768,Radiant,DIRE,-53.66
295,Zyf,gyrocopter,2,2,3,206,382,374,2269344768,Radiant,DIRE,-53.66
296,eLeVeN,lone_druid,5,3,7,266,611,648,2269344768,Dire,DIRE,53.66
297,LaNm,batrider,4,1,8,159,403,451,2269344768,Dire,DIRE,53.66
298,Fenrir,lion,3,1,10,63,295,317,2269344768,Dire,DIRE,53.66
299,iceiceice,chen,2,1,9,154,360,306,2269344768,Dire,DIRE,53.66
300,old chicken,invoker,3,0,10,264,601,550,2269344768,Dire,DIRE,53.66
301,Solo,vengefulspirit,2,3,12,40,325,341,2268239419,Radiant,RADIANT,27.65
302,Cema,oracle,3,3,13,51,343,344,2268239419,Radiant,RADIANT,27.65
303,Noone,invoker,8,0,11,259,739,677,2268239419,Radiant,RADIANT,27.65
304,fn 536,sven,8,2,10,275,695,698,2268239419,Radiant,RADIANT,27.65
305,Mag,beastmaster,1,6,8,136,419,360,2268239419,Radiant,RADIANT,27.65
306,mMeDream,witch_doctor,3,4,5,30,253,264,2268239419,Dire,RADIANT,-27.65
307,Jellopy,slark,2,2,6,260,574,679,2268239419,Dire,RADIANT,-27.65
308,SteffStyle,earth_spirit,3,4,7,34,263,304,2268239419,Dire,RADIANT,-27.65
